,,,,,,,,,,,,,,,,,,,,
,Course,Player,Time (sec),Division,Date,Event,Video proof,Filmer,Camera,Shoes,+/- (sec),+/- (%),Points,Course ID,Player ID,Run ID,Country,🏴,new CR?,former CR holder?
,CPRC 1,Taylor Carpenter,?,F,?,,,,,,,,,,,,,,,
,CHAPU 1,Taylor Carpenter,?,F,?,,,,,,,,,,,,,,,
,CHAPU 1,Taylor Carpenter,?,F,?,,,,,,,,,,,,,,,
,AURARIA 1,Joey Jepsen,?,M,?,,,,,,,,,,,,,,,
,HARBOURFRONT 1,Joey Jepsen,?,M,?,,,,,,,,,,,,,,,
,RINO,Taylor Carpenter,?,F,?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,CONFLUENCE,Benati Louvouezo,9.44,M,2026-05-10,ASR OPEN,,,,,,,,,,,,,,
,CONFLUENCE,Cosmo Palmer,13.04,M,2026-05-10,ASR OPEN,,,,,,,,,,,,,,
,RIVERPOINT,Cosmo Palmer,20.21,M,2026-05-10,ASR OPEN,,,,,,,,,,,,,,
,RIVERPOINT,Michael Sliger,17.43,M,2026-05-10,ASR OPEN,,,,,,,,,,,,,,
,PORTAGE 2,Muhammad Steed Baloch,19.78,M,2026-05-07,ASR OPEN,,,,,,,,,,,,,,
,KAIMUKI 1,Kaena Sylva,14.12,M,2026-05-04,ASR OPEN,,,,,,,,,,,,,,
,KAIMUKI 1,Matt Jang,14.03,M,2026-05-04,ASR OPEN,,,,,,,,,,,,,,
,UH1,Parker Krueger,12.97,M,2026-05-03,ASR OPEN,,,,,,,,,,,,,,
,UH1,Roland Turner,10.90,M,2026-05-03,ASR OPEN,,,,,,,,,,,,,,
,FUNDA,Luis Alberto García,25.42,M,2026-05-03,ASR OPEN,,,,,,,,,,,,,,
,FUNDA,Luis Faz,18.13,M,2026-05-03,ASR OPEN,,,,,,,,,,,,,,
,UNLV,Nick Faircloth,12.38,M,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,NOGUCHI,Camille Thionville,30.01,F,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,NOGUCHI,Ann Hoang,22.96,F,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,NOGUCHI,Lavender Lutz,28.04,F,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,TIVOLI,Amy Jepsen,25.13,F,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,KĀNEWAI,Parker Krueger,24.35,M,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,KĀNEWAI,Kaena Sylva,17.19,M,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,KĀNEWAI,Roland Turner,14.32,M,2026-05-02,ASR OPEN,,,,,,,,,,,,,,
,PORTAGE 1,Muhammad Steed Baloch,24.30,M,2026-05-01,ASR OPEN,,,,,,,,,,,,,,
,UNAM 1,Javier Rodriguez Alvarez,12.28,M,2026-04-27,,,,,,,,,,,,,,,
,HIGHLAND,Kyle Sherk,19.11,M,2026-04-25,ASR OPEN,,,,,,,,,,,,,,
,MILLENNIUM,Vanessa Sherk,33.79,F,2026-04-25,ASR OPEN,,,,,,,,,,,,,,
,HIGHLAND,Vanessa Sherk,29.26,F,2026-04-25,ASR OPEN,,,,,,,,,,,,,,
,MILLENNIUM,Di Li,70.07,M,2026-04-25,ASR OPEN,,,,,,,,,,,,,,
,MOREELSEPARK,Ilja Kocken,25.01,M,2026-04-23,ASR OPEN,,,,,,,,,,,,,,
,MOREELSEPARK,Tim van Oosterhout,28.19,M,2026-04-23,ASR OPEN,,,,,,,,,,,,,,
